step,gs0,gs1,gs2,
0,954,949,951,
1,954,949,951,
2,954,949,951,
3,954,949,952,
4,954,949,952,
5,954,949,951,
6,954,949,951,
7,954,949,951,
8,954,949,951,
9,930,934,940,
10,930,934,940,
11,869,795,888,
12,869,795,888,
13,890,807,899,
14,890,807,899,
15,940,868,935,
16,940,868,935,
17,948,942,947,
18,948,942,947,
19,956,950,952,
20,956,950,952,
21,956,952,953,
22,956,952,953,
23,956,950,952,
24,956,950,952,
25,956,952,953,
26,956,952,953,
27,956,950,952,
28,956,950,952,
29,956,952,953,
30,956,952,953,
31,956,952,952,
32,956,952,952,
33,956,952,953,
34,956,952,953,
35,956,952,953,
36,956,952,953,
37,956,952,953,
38,954,950,952,
39,954,950,952,
40,945,947,951,
41,945,947,951,
42,641,765,945,
43,641,765,945,
44,497,538,758,
45,497,538,758,
46,471,446,559,
47,471,446,559,
48,474,431,563,
49,474,431,563,
50,478,413,545,
51,478,413,545,
52,472,421,544,
53,472,421,544,
54,467,431,559,
55,467,431,559,
56,481,425,548,
57,481,425,548,
58,481,423,547,
59,481,423,547,
60,479,428,542,
61,479,428,542,
62,475,448,556,
63,475,448,556,
64,479,416,542,
65,479,416,542,
66,467,431,546,
67,467,431,546,
68,474,428,533,
69,474,428,533,
70,498,441,542,
71,498,441,542,
72,492,425,551,
73,492,425,551,
74,474,431,527,
75,474,431,527,
76,832,551,593,
77,832,551,593,
78,953,832,783,
79,953,832,783,
80,956,947,945,
81,956,947,945,
82,956,952,952,
83,956,952,952,
84,956,952,952,
85,956,952,952,
86,956,952,952,
87,956,952,952,
88,956,952,952,
89,956,952,952,
90,956,952,952,
91,956,952,952,
92,956,952,952,
93,956,952,952,
94,956,952,952,
95,956,952,952,
96,956,952,952,
97,956,952,952,
98,956,952,952,
99,957,952,952,
100,957,952,952,
101,957,952,952,
102,957,952,952,
103,957,952,952,
104,957,952,952,
105,956,952,952,
106,956,952,952,
107,956,951,952,
108,956,951,952,
109,956,951,952,
110,956,951,952,
111,956,951,952,
112,956,951,952,
113,956,952,952,
114,956,952,952,
115,956,951,952,
116,956,951,952,
117,956,951,952,
118,956,951,952,
119,956,951,952,
120,956,951,952,
121,956,951,952,
122,956,951,952,
123,956,952,952,
124,956,952,952,
125,956,952,952,
126,956,952,952,
127,956,951,952,
128,956,951,952,
129,957,952,952,
130,957,952,952,
131,957,952,952,
132,957,952,952,
133,957,952,952,
134,957,952,952,
135,957,951,952,
136,957,951,952,
137,957,952,952,
138,957,952,952,
139,957,952,952,
140,957,952,952,
141,957,952,952,
142,957,952,952,
143,956,952,952,
144,956,952,952,
145,957,952,952,
146,957,952,952,
147,957,952,952,
148,956,952,952,
149,956,952,952,
150,957,951,952,
151,957,951,952,
152,956,951,952,
153,956,951,952,
154,957,950,952,
155,957,950,952,
156,956,950,952,
157,956,950,952,
158,956,950,952,
159,956,950,952,
160,956,950,952,
161,956,950,952,
162,956,950,952,
163,956,950,952,
164,956,950,951,
165,956,950,951,
166,956,950,951,
167,956,950,951,
168,956,950,952,
