step,x_center,y_center,width,height,area,label,time
0,39.0,47.5,62,19,939.0,Blue,0.04029059410095215
0,40.0,68.5,58,19,903.0,Green,0.04029059410095215
0,35.0,90.0,56,20,941.5,Red,0.04029059410095215
0,84.0,74.5,152,71,5632.0,Black,0.04029059410095215
0,138.5,15.5,43,31,654.5,Black,0.04029059410095215
0,20.0,13.5,40,27,528.5,Black,0.04029059410095215
1,39.0,47.5,62,19,939.0,Blue,0.034096717834472656
1,40.0,68.5,58,19,903.0,Green,0.034096717834472656
1,35.0,90.0,56,20,941.5,Red,0.034096717834472656
1,84.0,74.5,152,71,5632.0,Black,0.034096717834472656
1,138.5,15.5,43,31,654.5,Black,0.034096717834472656
1,20.0,13.5,40,27,528.5,Black,0.034096717834472656
2,39.0,47.5,62,19,947.5,Blue,0.034445762634277344
2,40.5,68.0,61,18,885.5,Green,0.034445762634277344
2,34.5,90.5,55,21,958.0,Red,0.034445762634277344
2,84.0,74.5,152,71,5678.5,Black,0.034445762634277344
2,140.0,15.0,40,30,600.0,Black,0.034445762634277344
2,19.0,13.5,38,27,530.5,Black,0.034445762634277344
3,39.0,47.5,62,19,947.5,Blue,0.042783260345458984
3,40.5,68.0,61,18,885.5,Green,0.042783260345458984
3,34.5,90.5,55,21,958.0,Red,0.042783260345458984
3,84.0,74.5,152,71,5678.5,Black,0.042783260345458984
3,140.0,15.0,40,30,600.0,Black,0.042783260345458984
3,19.0,13.5,38,27,530.5,Black,0.042783260345458984
4,39.0,47.5,62,19,974.5,Blue,0.04762864112854004
4,40.5,68.5,57,19,751.0,Green,0.04762864112854004
4,34.5,90.0,55,20,954.0,Red,0.04762864112854004
4,84.0,74.5,152,71,5636.0,Black,0.04762864112854004
4,140.5,15.0,39,30,616.5,Black,0.04762864112854004
4,20.0,13.5,40,27,529.5,Black,0.04762864112854004
5,39.0,47.5,62,19,974.5,Blue,0.037563323974609375
5,40.5,68.5,57,19,751.0,Green,0.037563323974609375
5,34.5,90.0,55,20,954.0,Red,0.037563323974609375
5,84.0,74.5,152,71,5636.0,Black,0.037563323974609375
5,140.5,15.0,39,30,616.5,Black,0.037563323974609375
5,20.0,13.5,40,27,529.5,Black,0.037563323974609375
6,39.0,47.5,62,19,936.5,Blue,0.03483080863952637
6,40.5,68.5,59,19,880.0,Green,0.03483080863952637
6,34.5,90.0,55,20,953.0,Red,0.03483080863952637
6,84.5,74.5,151,71,5860.5,Black,0.03483080863952637
6,139.0,15.5,42,31,611.5,Black,0.03483080863952637
6,18.5,14.0,37,28,542.0,Black,0.03483080863952637
7,39.0,47.5,62,19,936.5,Blue,0.03357291221618652
7,40.5,68.5,59,19,880.0,Green,0.03357291221618652
7,34.5,90.0,55,20,953.0,Red,0.03357291221618652
7,84.5,74.5,151,71,5860.5,Black,0.03357291221618652
7,139.0,15.5,42,31,611.5,Black,0.03357291221618652
7,18.5,14.0,37,28,542.0,Black,0.03357291221618652
8,39.0,47.5,62,19,959.0,Blue,0.03490853309631348
8,40.0,68.5,58,19,718.5,Green,0.03490853309631348
8,35.0,90.5,56,21,967.5,Red,0.03490853309631348
8,84.0,75.0,152,70,5428.5,Black,0.03490853309631348
8,138.5,15.0,43,30,600.0,Black,0.03490853309631348
8,20.0,13.5,40,27,542.5,Black,0.03490853309631348
9,39.0,47.5,62,19,959.0,Blue,0.04055929183959961
9,40.0,68.5,58,19,718.5,Green,0.04055929183959961
9,35.0,90.5,56,21,967.5,Red,0.04055929183959961
9,84.0,75.0,152,70,5428.5,Black,0.04055929183959961
9,138.5,15.0,43,30,600.0,Black,0.04055929183959961
9,20.0,13.5,40,27,542.5,Black,0.04055929183959961
10,39.0,47.5,62,19,959.5,Blue,0.03494119644165039
10,40.0,68.0,60,18,802.0,Green,0.03494119644165039
10,35.0,90.5,56,21,977.5,Red,0.03494119644165039
10,84.0,74.5,152,71,5706.0,Black,0.03494119644165039
10,139.5,15.5,41,31,603.5,Black,0.03494119644165039
10,20.5,13.5,41,27,542.0,Black,0.03494119644165039
11,39.0,47.5,62,19,959.5,Blue,0.03860211372375488
11,40.0,68.0,60,18,802.0,Green,0.03860211372375488
11,35.0,90.5,56,21,977.5,Red,0.03860211372375488
11,84.0,74.5,152,71,5706.0,Black,0.03860211372375488
11,139.5,15.5,41,31,603.5,Black,0.03860211372375488
11,20.5,13.5,41,27,542.0,Black,0.03860211372375488
12,39.0,47.5,62,19,948.5,Blue,0.03572249412536621
12,41.5,68.0,57,18,769.0,Green,0.03572249412536621
12,34.5,90.5,55,21,956.0,Red,0.03572249412536621
12,84.0,75.0,152,70,5622.0,Black,0.03572249412536621
12,140.0,15.5,40,31,604.0,Black,0.03572249412536621
12,18.5,14.0,37,28,525.5,Black,0.03572249412536621
13,39.0,47.5,62,19,948.5,Blue,0.03667140007019043
13,41.5,68.0,57,18,769.0,Green,0.03667140007019043
13,34.5,90.5,55,21,956.0,Red,0.03667140007019043
13,84.0,75.0,152,70,5622.0,Black,0.03667140007019043
13,140.0,15.5,40,31,604.0,Black,0.03667140007019043
13,18.5,14.0,37,28,525.5,Black,0.03667140007019043
14,39.0,47.5,62,19,952.5,Blue,0.03543233871459961
14,40.0,68.5,60,19,934.5,Green,0.03543233871459961
14,34.5,90.0,55,20,952.0,Red,0.03543233871459961
14,84.0,75.0,152,70,5645.0,Black,0.03543233871459961
14,138.5,15.5,43,31,650.5,Black,0.03543233871459961
14,19.0,14.0,38,28,542.5,Black,0.03543233871459961
15,39.0,47.5,62,19,952.5,Blue,0.03681302070617676
15,40.0,68.5,60,19,934.5,Green,0.03681302070617676
15,34.5,90.0,55,20,952.0,Red,0.03681302070617676
15,84.0,75.0,152,70,5645.0,Black,0.03681302070617676
15,138.5,15.5,43,31,650.5,Black,0.03681302070617676
15,19.0,14.0,38,28,542.5,Black,0.03681302070617676
16,39.0,47.5,62,19,955.5,Blue,0.037949562072753906
16,40.0,68.5,58,19,865.0,Green,0.037949562072753906
16,34.5,90.0,55,20,955.0,Red,0.037949562072753906
16,84.0,75.0,152,70,5809.0,Black,0.037949562072753906
16,140.0,15.0,40,30,572.0,Black,0.037949562072753906
16,20.5,14.0,41,28,541.0,Black,0.037949562072753906
17,39.0,47.5,62,19,955.5,Blue,0.03534817695617676
17,40.0,68.5,58,19,865.0,Green,0.03534817695617676
17,34.5,90.0,55,20,955.0,Red,0.03534817695617676
17,84.0,75.0,152,70,5809.0,Black,0.03534817695617676
17,140.0,15.0,40,30,572.0,Black,0.03534817695617676
17,20.5,14.0,41,28,541.0,Black,0.03534817695617676
18,39.0,47.5,62,19,959.5,Blue,0.03513479232788086
18,41.0,68.0,60,18,655.5,Green,0.03513479232788086
18,34.5,90.0,55,20,941.0,Red,0.03513479232788086
18,84.0,75.0,152,70,5412.5,Black,0.03513479232788086
18,142.5,15.5,35,31,593.0,Black,0.03513479232788086
18,17.5,14.0,35,28,531.0,Black,0.03513479232788086
19,39.0,47.5,62,19,959.5,Blue,0.0384674072265625
19,41.0,68.0,60,18,655.5,Green,0.0384674072265625
19,34.5,90.0,55,20,941.0,Red,0.0384674072265625
19,84.0,75.0,152,70,5412.5,Black,0.0384674072265625
19,142.5,15.5,35,31,593.0,Black,0.0384674072265625
19,17.5,14.0,35,28,531.0,Black,0.0384674072265625
