step,x_center,y_center,width,height,area,label,time
0,148.5,115.0,23,10,113.0,Blue,0.03739762306213379
0,125.5,70.0,37,54,1865.0,Green,0.03739762306213379
0,86.5,51.5,37,91,2307.0,Red,0.03739762306213379
0,33.5,68.0,67,58,1765.0,Black,0.03739762306213379
0,118.5,28.0,83,56,1186.5,Black,0.03739762306213379
0,31.0,16.5,62,33,1032.0,Black,0.03739762306213379
1,148.5,114.5,23,11,134.5,Blue,0.04828619956970215
1,125.5,70.0,37,54,1862.0,Green,0.04828619956970215
1,26.0,45.0,16,16,106.0,Red,0.04828619956970215
1,82.0,52.5,46,89,2181.5,Red,0.04828619956970215
1,55.0,10.0,18,20,101.5,Red,0.04828619956970215
1,33.5,69.0,67,56,1775.0,Black,0.04828619956970215
1,117.0,28.0,86,56,1234.0,Black,0.04828619956970215
1,27.0,16.0,54,32,924.5,Black,0.04828619956970215
2,148.5,114.5,23,11,134.5,Blue,0.0548100471496582
2,125.5,70.0,37,54,1862.0,Green,0.0548100471496582
2,26.0,45.0,16,16,106.0,Red,0.0548100471496582
2,82.0,52.5,46,89,2181.5,Red,0.0548100471496582
2,55.0,10.0,18,20,101.5,Red,0.0548100471496582
2,33.5,69.0,67,56,1775.0,Black,0.0548100471496582
2,117.0,28.0,86,56,1234.0,Black,0.0548100471496582
2,27.0,16.0,54,32,924.5,Black,0.0548100471496582
3,125.5,70.0,37,54,1864.0,Green,0.04092097282409668
3,82.5,51.5,45,91,2138.5,Red,0.04092097282409668
3,56.0,9.5,18,19,112.0,Red,0.04092097282409668
3,33.5,70.5,67,53,1785.0,Black,0.04092097282409668
3,117.5,28.0,85,56,1214.0,Black,0.04092097282409668
3,27.0,15.0,54,30,893.5,Black,0.04092097282409668
4,125.5,70.0,37,54,1864.0,Green,0.043306589126586914
4,82.5,51.5,45,91,2138.5,Red,0.043306589126586914
4,56.0,9.5,18,19,112.0,Red,0.043306589126586914
4,33.5,70.5,67,53,1785.0,Black,0.043306589126586914
4,117.5,28.0,85,56,1214.0,Black,0.043306589126586914
4,27.0,15.0,54,30,893.5,Black,0.043306589126586914
5,148.0,111.0,24,18,226.5,Blue,0.044095754623413086
5,125.5,70.0,37,54,1839.0,Green,0.044095754623413086
5,34.5,37.5,25,15,132.0,Red,0.044095754623413086
5,85.5,60.5,39,73,2133.5,Red,0.044095754623413086
5,59.0,9.5,20,19,152.5,Red,0.044095754623413086
5,33.5,70.5,67,53,1779.5,Black,0.044095754623413086
5,119.5,28.0,81,56,1141.5,Black,0.044095754623413086
5,28.5,15.5,57,31,889.0,Black,0.044095754623413086
6,148.0,111.0,24,18,226.5,Blue,0.05228376388549805
6,125.5,70.0,37,54,1839.0,Green,0.05228376388549805
6,34.5,37.5,25,15,132.0,Red,0.05228376388549805
6,85.5,60.5,39,73,2133.5,Red,0.05228376388549805
6,59.0,9.5,20,19,152.5,Red,0.05228376388549805
6,33.5,70.5,67,53,1779.5,Black,0.05228376388549805
6,119.5,28.0,81,56,1141.5,Black,0.05228376388549805
6,28.5,15.5,57,31,889.0,Black,0.05228376388549805
7,150.0,114.5,20,11,141.5,Blue,0.04832935333251953
7,125.5,70.0,37,56,1875.0,Green,0.04832935333251953
7,85.0,60.0,40,74,2148.0,Red,0.04832935333251953
7,64.5,9.5,27,19,136.0,Red,0.04832935333251953
7,33.5,70.5,67,53,1785.5,Black,0.04832935333251953
7,120.5,28.0,79,56,1139.0,Black,0.04832935333251953
7,30.0,15.0,60,30,908.0,Black,0.04832935333251953
8,150.0,114.5,20,11,141.5,Blue,0.04574394226074219
8,125.5,70.0,37,56,1875.0,Green,0.04574394226074219
8,85.0,60.0,40,74,2148.0,Red,0.04574394226074219
8,64.5,9.5,27,19,136.0,Red,0.04574394226074219
8,33.5,70.5,67,53,1785.5,Black,0.04574394226074219
8,120.5,28.0,79,56,1139.0,Black,0.04574394226074219
8,30.0,15.0,60,30,908.0,Black,0.04574394226074219
9,125.5,69.5,37,55,1881.0,Green,0.044404029846191406
9,86.0,60.5,38,73,2137.0,Red,0.044404029846191406
9,61.0,13.0,22,26,144.5,Red,0.044404029846191406
9,33.5,69.5,67,55,1787.0,Black,0.044404029846191406
9,120.5,28.0,79,56,1168.5,Black,0.044404029846191406
9,30.0,14.5,60,29,940.0,Black,0.044404029846191406
10,125.5,69.5,37,55,1881.0,Green,0.04751229286193848
10,86.0,60.5,38,73,2137.0,Red,0.04751229286193848
10,61.0,13.0,22,26,144.5,Red,0.04751229286193848
10,33.5,69.5,67,55,1787.0,Black,0.04751229286193848
10,120.5,28.0,79,56,1168.5,Black,0.04751229286193848
10,30.0,14.5,60,29,940.0,Black,0.04751229286193848
11,125.5,70.5,37,55,1873.5,Green,0.051489830017089844
11,86.5,60.5,37,73,2115.5,Red,0.051489830017089844
11,63.5,10.0,25,20,152.5,Red,0.051489830017089844
11,33.5,70.5,67,53,1779.5,Black,0.051489830017089844
11,119.5,28.0,81,56,1169.0,Black,0.051489830017089844
11,29.0,14.5,58,29,957.5,Black,0.051489830017089844
12,125.5,70.5,37,55,1873.5,Green,0.05542445182800293
12,86.5,60.5,37,73,2115.5,Red,0.05542445182800293
12,63.5,10.0,25,20,152.5,Red,0.05542445182800293
12,33.5,70.5,67,53,1779.5,Black,0.05542445182800293
12,119.5,28.0,81,56,1169.0,Black,0.05542445182800293
12,29.0,14.5,58,29,957.5,Black,0.05542445182800293
13,148.0,109.5,24,21,272.0,Blue,0.04419112205505371
13,127.5,5.0,65,10,391.5,Blue,0.04419112205505371
13,125.5,69.5,37,55,1870.5,Green,0.04419112205505371
13,83.5,5.0,35,10,195.0,Green,0.04419112205505371
13,30.0,5.0,60,10,257.0,Green,0.04419112205505371
13,86.0,60.5,38,73,2123.5,Red,0.04419112205505371
13,33.5,69.5,67,55,1790.0,Black,0.04419112205505371
13,148.0,34.0,24,44,604.5,Black,0.04419112205505371
13,28.0,19.0,46,20,343.5,Black,0.04419112205505371
14,148.0,109.5,24,21,272.0,Blue,0.03936004638671875
14,127.5,5.0,65,10,391.5,Blue,0.03936004638671875
14,125.5,69.5,37,55,1870.5,Green,0.03936004638671875
14,83.5,5.0,35,10,195.0,Green,0.03936004638671875
14,30.0,5.0,60,10,257.0,Green,0.03936004638671875
14,86.0,60.5,38,73,2123.5,Red,0.03936004638671875
14,33.5,69.5,67,55,1790.0,Black,0.03936004638671875
14,148.0,34.0,24,44,604.5,Black,0.03936004638671875
14,28.0,19.0,46,20,343.5,Black,0.03936004638671875
15,148.0,115.0,24,10,133.5,Blue,0.05101585388183594
15,125.5,70.0,37,54,1861.5,Green,0.05101585388183594
15,86.5,66.0,37,62,1930.5,Red,0.05101585388183594
15,32.5,38.0,23,22,175.5,Red,0.05101585388183594
15,148.0,30.5,24,9,158.5,Red,0.05101585388183594
15,109.5,31.0,45,10,288.0,Red,0.05101585388183594
15,63.5,11.0,25,22,134.5,Red,0.05101585388183594
15,33.5,70.5,67,53,1765.0,Black,0.05101585388183594
15,153.0,46.5,14,19,161.5,Black,0.05101585388183594
15,119.5,12.0,81,24,675.5,Black,0.05101585388183594
15,29.5,12.5,59,25,915.0,Black,0.05101585388183594
16,148.0,115.0,24,10,133.5,Blue,0.047858238220214844
16,125.5,70.0,37,54,1861.5,Green,0.047858238220214844
16,86.5,66.0,37,62,1930.5,Red,0.047858238220214844
16,32.5,38.0,23,22,175.5,Red,0.047858238220214844
16,148.0,30.5,24,9,158.5,Red,0.047858238220214844
16,109.5,31.0,45,10,288.0,Red,0.047858238220214844
16,63.5,11.0,25,22,134.5,Red,0.047858238220214844
16,33.5,70.5,67,53,1765.0,Black,0.047858238220214844
16,153.0,46.5,14,19,161.5,Black,0.047858238220214844
16,119.5,12.0,81,24,675.5,Black,0.047858238220214844
16,29.5,12.5,59,25,915.0,Black,0.047858238220214844
17,148.5,110.5,23,19,205.0,Blue,0.05826544761657715
17,35.0,57.5,38,11,320.5,Blue,0.05826544761657715
17,28.0,20.0,56,12,334.5,Blue,0.05826544761657715
17,137.5,18.5,45,11,226.0,Blue,0.05826544761657715
17,80.0,57.0,54,12,348.5,Green,0.05826544761657715
17,133.5,70.0,53,54,1602.5,Green,0.05826544761657715
17,7.0,58.0,14,10,104.5,Red,0.05826544761657715
17,150.0,57.0,20,10,110.0,Red,0.05826544761657715
17,80.5,61.5,49,71,2038.5,Red,0.05826544761657715
17,64.0,7.5,22,15,120.0,Red,0.05826544761657715
17,49.5,81.0,35,32,1015.5,Black,0.05826544761657715
17,50.0,47.0,34,6,163.5,Black,0.05826544761657715
17,148.0,38.0,24,24,304.5,Black,0.05826544761657715
17,118.5,7.0,83,14,508.0,Black,0.05826544761657715
17,30.0,6.0,60,12,563.0,Black,0.05826544761657715
18,148.5,110.5,23,19,205.0,Blue,0.047486305236816406
18,35.0,57.5,38,11,320.5,Blue,0.047486305236816406
18,28.0,20.0,56,12,334.5,Blue,0.047486305236816406
18,137.5,18.5,45,11,226.0,Blue,0.047486305236816406
18,80.0,57.0,54,12,348.5,Green,0.047486305236816406
18,133.5,70.0,53,54,1602.5,Green,0.047486305236816406
18,7.0,58.0,14,10,104.5,Red,0.047486305236816406
18,150.0,57.0,20,10,110.0,Red,0.047486305236816406
18,80.5,61.5,49,71,2038.5,Red,0.047486305236816406
18,64.0,7.5,22,15,120.0,Red,0.047486305236816406
18,49.5,81.0,35,32,1015.5,Black,0.047486305236816406
18,50.0,47.0,34,6,163.5,Black,0.047486305236816406
18,148.0,38.0,24,24,304.5,Black,0.047486305236816406
18,118.5,7.0,83,14,508.0,Black,0.047486305236816406
18,30.0,6.0,60,12,563.0,Black,0.047486305236816406
19,148.5,113.5,23,13,107.5,Blue,0.05499982833862305
19,125.5,70.0,37,54,1864.0,Green,0.05499982833862305
19,110.0,16.0,62,6,156.0,Green,0.05499982833862305
19,85.5,61.0,39,72,2122.0,Red,0.05499982833862305
19,33.5,70.5,67,53,1774.5,Black,0.05499982833862305
19,148.0,38.5,24,35,466.0,Black,0.05499982833862305
19,119.5,5.5,81,11,510.5,Black,0.05499982833862305
19,29.5,6.0,59,12,558.0,Black,0.05499982833862305
20,148.5,113.5,23,13,107.5,Blue,0.05491328239440918
20,125.5,70.0,37,54,1864.0,Green,0.05491328239440918
20,110.0,16.0,62,6,156.0,Green,0.05491328239440918
20,85.5,61.0,39,72,2122.0,Red,0.05491328239440918
20,33.5,70.5,67,53,1774.5,Black,0.05491328239440918
20,148.0,38.5,24,35,466.0,Black,0.05491328239440918
20,119.5,5.5,81,11,510.5,Black,0.05491328239440918
20,29.5,6.0,59,12,558.0,Black,0.05491328239440918
21,149.5,113.0,21,14,163.5,Blue,0.04162716865539551
21,125.5,70.0,37,54,1869.0,Green,0.04162716865539551
21,85.5,61.0,39,72,2125.5,Red,0.04162716865539551
21,63.5,9.5,23,19,140.5,Red,0.04162716865539551
21,33.5,70.5,67,53,1776.5,Black,0.04162716865539551
21,119.5,28.0,81,56,1138.5,Black,0.04162716865539551
21,30.5,15.5,61,31,984.5,Black,0.04162716865539551
22,149.5,113.0,21,14,163.5,Blue,0.04961371421813965
22,125.5,70.0,37,54,1869.0,Green,0.04961371421813965
22,85.5,61.0,39,72,2125.5,Red,0.04961371421813965
22,63.5,9.5,23,19,140.5,Red,0.04961371421813965
22,33.5,70.5,67,53,1776.5,Black,0.04961371421813965
22,119.5,28.0,81,56,1138.5,Black,0.04961371421813965
22,30.5,15.5,61,31,984.5,Black,0.04961371421813965
23,125.5,70.0,37,54,1871.5,Green,0.04983353614807129
23,85.0,60.5,40,73,2128.5,Red,0.04983353614807129
23,63.5,10.0,23,20,148.0,Red,0.04983353614807129
23,33.5,70.5,67,53,1793.0,Black,0.04983353614807129
23,119.5,28.0,81,56,1174.5,Black,0.04983353614807129
