step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
0,0.0,5.52,0,0,16.68,17.82,0,0,
1,0.0,7.52,0,0,5.68,0,96.76,0.2200000000000002,
2,0.0,7.52,0,0,0,6.82,0,0,
3,0.0,10.52,18.880000000000003,3.620000000000001,0,16.82,0,0,
4,0.0,7.52,0,0,0,26.82,0,1.2200000000000002,
5,0.0,0,0,0,0,1.8200000000000003,0,2.22,
6,0.0,8.52,0,0,0,182.82,0,0,
7,0.0,7.52,0,0,4.68,49.82,81.76,0,
8,0.0,4.52,0,0,5.68,1.8200000000000003,0,0,
9,0.0,4.52,0,0,0,0,0,0,
10,0.0,4.52,0,0,0,0,3.76,0,
11,0.0,7.52,0,1.620000000000001,0,0,0,0,
12,0.0,4.52,0,0,0,0,0,0,
13,0.0,6.52,0,2.620000000000001,0,0,0,0,
14,0.0,3.52,0,0,3.6799999999999997,0,0,0,
15,0.0,4.52,0,0,4.68,0,0,0,
16,0.0,8.52,0,0,0,12.82,28.759999999999998,0,
17,0.0,8.52,16.880000000000003,0,3.6799999999999997,5.82,0,0,
18,1.0,11.52,0,0,8.68,0,0,0,
19,0.0,15.52,0,0,8.68,23.82,0,7.220000000000001,
20,0.0,8.52,0,0,0,0,0,0,
21,0.0,9.52,0,0,0,36.82,0,0,
22,1.0,11.52,0,0,0,8.82,9.76,0,
23,0.0,14.52,0,0,13.68,0,0,0,
24,0.0,10.52,0,0,1.68,0,12.76,0,
25,0.0,14.52,5.880000000000001,0,0.6799999999999999,0,0,0,
26,0.0,11.52,0,0,0,7.82,1.7599999999999998,0,
27,0.0,12.52,0,0,3.6799999999999997,0,0,0,
28,0.0,11.52,5.880000000000001,0,0,7.82,0,0,
29,0.0,19.52,0,0,0,0,0,0,
30,4.0,18.52,0,0,8.68,22.82,0,2.22,
31,0.0,15.52,0,0,9.68,0,2.76,0,
32,0.0,15.52,0,7.620000000000001,13.68,0,4.76,0,
33,1.0,18.52,0,0,3.6799999999999997,9.82,11.76,0,
34,0.0,15.52,0,0,0,7.82,4.76,3.22,
35,0.0,18.52,0,0,8.68,3.8200000000000003,1.7599999999999998,0,
36,0.0,15.52,0,0,18.68,8.82,22.759999999999998,0,
37,0.0,19.52,0,0,2.6799999999999997,19.82,2.76,0,
38,0.0,16.52,0,0,0,0,30.759999999999998,0,
39,0.0,19.52,0,0,1.68,0,7.76,1.2200000000000002,
40,3.0,21.52,58.88,0,5.68,52.82,7.76,4.220000000000001,
41,0.0,20.52,0,0,5.68,0,8.76,0.2200000000000002,
42,3.0,19.52,0,0,27.68,0,13.76,11.22,
43,2.0,23.52,14.88,0,0,0,34.76,9.22,
44,0.0,20.52,38.88,0,1.68,0,23.759999999999998,0,
45,0.0,23.52,0,0,9.68,0,10.76,1.2200000000000002,
46,3.0,26.52,0,0,20.68,11.82,0,8.22,
47,0.0,22.52,2.880000000000001,0,17.68,0,7.76,6.220000000000001,
48,0.0,26.52,0,0,12.68,0,17.759999999999998,0,
49,2.0,26.52,0,0,0,24.82,27.759999999999998,0,
50,2.0,28.52,0,0,0,43.82,22.759999999999998,0,
51,7.0,24.52,18.880000000000003,0,28.68,0,79.76,1.2200000000000002,
52,0.0,28.52,0,3.620000000000001,0,60.82,24.759999999999998,2.22,
53,0.0,27.52,0,0,13.68,12.82,106.76,4.220000000000001,
54,0.0,33.52,0,0,0,29.82,52.76,9.22,
55,0.0,32.52,0,0,0,14.82,31.759999999999998,1.2200000000000002,
56,0.0,35.52,0,0,15.68,0,36.76,4.220000000000001,
57,2.0,27.52,0,0,8.68,0,36.76,3.22,
58,1.0,31.52,9.88,0,10.68,12.82,33.76,9.22,
59,0.0,39.52,0,0,0,0,38.76,0,
60,2.0,32.52,0,0,11.68,7.82,18.759999999999998,0,
61,0.0,37.52,0,0,48.68,25.82,55.76,3.22,
62,1.0,38.52,16.880000000000003,0,0,70.82,38.76,0,
63,3.0,39.52,0,0,0,0,39.76,1.2200000000000002,
64,2.0,39.52,0,0,0,14.82,40.76,0,
65,2.0,39.52,0,0,0,13.82,52.76,0,
66,0.0,43.52,0,0,34.68,35.82,26.759999999999998,0,
67,1.0,42.52,0,0,0,0,46.76,0.2200000000000002,
68,1.0,43.52,0,0,18.68,0.8200000000000003,59.76,4.220000000000001,
69,0.0,47.52,0,0,0,41.82,55.76,0,
70,0.0,44.52,0,0,0,36.82,46.76,0,
71,0.0,48.52,0,0,17.68,2.8200000000000003,51.76,0,
72,0.0,48.52,1.8800000000000008,0,0,0,51.76,2.22,
73,3.0,54.52,0,0,0,13.82,52.76,0,
74,0.0,49.52,0,0,0,9.82,66.76,0,
75,6.0,55.52,0,0,0,18.82,60.76,0,
76,0.0,57.52,0,0,0,12.82,67.76,0.2200000000000002,
77,0.0,56.52,0,0,40.68,11.82,68.76,0,
78,3.0,55.52,9.88,0,13.68,3.8200000000000003,70.76,0,
79,3.0,59.52,0,0,4.68,72.82,86.76,0,
80,0.0,59.52,1.8800000000000008,0,28.68,45.82,131.76,0,
81,3.0,59.52,29.880000000000003,0,0,35.82,101.76,0,
82,0.0,58.52,0,0,18.68,26.82,115.76,0,
83,7.0,64.52,4.880000000000001,0,0,26.82,87.76,0,
84,0.0,61.52,7.880000000000001,0,0,38.82,84.76,0,
85,0.0,65.52,4.880000000000001,0,0,27.82,91.76,0,
86,0.0,65.52,0,0,0,7.82,93.76,0,
87,0.0,63.52,9.88,0,6.68,25.82,94.76,0,
88,0.0,70.52,11.88,0,33.68,27.82,100.76,0,
89,0.0,70.52,38.88,0,0,0,120.76,0,
90,7.0,71.52,13.88,0,52.68,37.82,99.76,0,
91,0.0,71.52,12.88,0,4.68,107.82,101.76,0,
92,0.0,75.52,121.88,0,0,87.82,111.76,0,
93,0.0,75.52,53.88,0,12.68,57.82,118.76,0,
94,0.0,68.52,17.880000000000003,0,0,39.82,109.76,0,
95,0.0,67.52,16.880000000000003,0,0,35.82,107.76,0,
96,0.0,73.52,24.880000000000003,19.62,1.68,38.82,102.76,0,
97,0.0,74.52,0,0,5.68,33.82,107.76,0,
98,0.0,75.52,21.880000000000003,0,0,70.82,109.76,0,
99,0.0,75.52,23.880000000000003,0,0,46.82,104.76,0,
100,0.0,76.52,24.880000000000003,0,9.68,80.82,102.76,0,
101,0.0,71.52,25.880000000000003,0,15.68,0,111.76,0,
102,0.0,76.52,25.880000000000003,0,0,27.82,110.76,0,
103,0.0,75.52,8.88,0,0,4.82,115.76,0,
104,0.0,78.52,33.88,4.620000000000001,0,90.82,116.76,0,
105,0.0,78.52,32.88,0,0,62.82,107.76,0,
106,2.0,78.52,33.88,0,14.68,86.82,109.76,0,
107,0.0,75.52,72.88,4.620000000000001,0,78.82,113.76,0,
108,0.0,75.52,37.88,0,23.68,133.82,109.76,0,
109,0.0,79.52,40.88,0,6.68,69.82,105.76,0,
110,0.0,78.52,41.88,0,0.6799999999999999,60.82,105.76,0,
111,0.0,82.52,57.88,0,0,99.82,110.76,0,
112,0.0,74.52,43.88,2.620000000000001,1.68,6.82,109.76,0,
113,0.0,78.52,46.88,0,0,83.82,110.76,0,
114,0.0,78.52,53.88,0.620000000000001,17.68,76.82,110.76,0,
115,0.0,74.52,70.88,19.62,0,94.82,99.76,0,
116,0.0,74.52,60.88,7.620000000000001,0,158.82,101.76,0,
117,0.0,75.52,61.88,0.620000000000001,0,121.82,107.76,0,
118,0.0,74.52,18.880000000000003,7.620000000000001,0,139.82,106.76,0.2200000000000002,
119,0.0,72.52,65.88,0,0,160.82,103.76,0,
120,0.0,71.52,70.88,0,0,159.82,99.76,0,
121,0.0,73.52,76.88,0,0,141.82,99.76,0,
122,0.0,74.52,65.88,0,0,237.82,97.76,0,
123,0.0,71.52,84.88,11.620000000000001,0,170.82,107.76,0,
124,0.0,73.52,85.88,0,59.68,180.82,97.76,0,
125,0.0,71.52,88.88,0,0,174.82,101.76,0,
126,0.0,71.52,43.88,3.620000000000001,5.68,176.82,91.76,0,
127,0.0,70.52,85.88,0,0,203.82,109.76,0,
128,0.0,64.52,94.88,0.620000000000001,8.68,219.82,94.76,0,
129,0.0,68.52,101.88,0,0,209.82,92.76,0,
130,0.0,67.52,136.88,0,0,222.82,87.76,0,
131,0.0,67.52,107.88,0,0,240.82,113.76,0,
132,0.0,64.52,113.88,0,0,229.82,94.76,0,
133,0.0,68.52,81.88,0,0,242.82,91.76,0,
134,0.0,64.52,138.88,0,15.68,232.82,89.76,0,
135,0.0,63.52,121.88,0,52.68,257.82,85.76,0,
136,0.0,63.52,124.88,0.620000000000001,6.68,258.82,91.76,0,
137,0.0,62.52,65.88,0,0,254.82,87.76,0,
138,0.0,60.52,183.88,27.62,0,294.82,91.76,0,
139,0.0,60.52,134.88,0,0,272.82,85.76,0,
140,0.0,62.52,140.88,0.620000000000001,0,290.82,100.76,0,
141,0.0,58.52,128.88,0,0,295.82,78.76,0,
142,0.0,56.52,136.88,0.620000000000001,0,289.82,73.76,0,
143,0.0,56.52,142.88,2.620000000000001,0,288.82,78.76,0,
144,0.0,56.52,147.88,0.620000000000001,0,297.82,78.76,0,
145,0.0,53.52,136.88,6.620000000000001,0,319.82,68.76,0,
146,0.0,53.52,149.88,0,5.68,296.82,77.76,0,
147,0.0,51.52,153.88,0,0.6799999999999999,295.82,67.76,0,
148,0.0,50.52,155.88,0,0,302.82,57.76,0,
149,0.0,51.52,158.88,0.620000000000001,2.6799999999999997,302.82,72.76,0,
150,0.0,50.52,157.88,0.620000000000001,0,310.82,68.76,0,
151,0.0,44.52,158.88,3.620000000000001,0.6799999999999999,304.82,64.76,0,
152,0.0,48.52,171.88,3.620000000000001,0,384.82,59.76,0,
153,0.0,47.52,157.88,0.620000000000001,0,294.82,70.76,0,
154,0.0,46.52,163.88,2.620000000000001,0,330.82,65.76,0,
155,0.0,39.52,165.88,1.620000000000001,7.68,305.82,58.76,0,
156,0.0,40.52,208.88,3.620000000000001,0,251.82,53.76,0,
157,0.0,40.52,194.88,7.620000000000001,0,357.82,63.76,0,
158,0.0,38.52,169.88,3.620000000000001,0,330.82,53.76,0,
159,0.0,36.52,168.88,3.620000000000001,5.68,319.82,54.76,0,
160,0.0,35.52,90.88,3.620000000000001,16.68,262.82,59.76,0,
161,0.0,31.52,167.88,3.620000000000001,0,309.82,50.76,0,
162,0.0,32.52,172.88,3.620000000000001,2.6799999999999997,303.82,48.76,0,
163,0.0,31.52,141.88,11.620000000000001,0,315.82,32.76,5.220000000000001,
164,0.0,31.52,141.88,0,0,320.82,43.76,0,
165,0.0,28.52,169.88,4.620000000000001,6.68,314.82,44.76,0,
166,0.0,24.52,173.88,1.620000000000001,0,317.82,35.76,0,
167,0.0,28.52,189.88,0,0,289.82,36.76,0,
168,0.0,24.52,166.88,4.620000000000001,16.68,307.82,25.759999999999998,0.2200000000000002,
169,0.0,25.52,162.88,8.620000000000001,0,307.82,27.759999999999998,0,
170,0.0,21.52,169.88,3.620000000000001,0,330.82,27.759999999999998,0,
