step,gs0,gs1,gs2,
0,955,950,952,
1,955,950,952,
2,954,950,952,
3,954,950,952,
4,954,950,952,
5,954,950,952,
6,954,950,952,
7,954,950,952,
8,954,950,952,
9,954,950,952,
10,954,950,952,
11,954,950,952,
12,954,950,952,
13,954,950,952,
14,954,950,952,
15,954,950,952,
16,954,950,952,
17,954,950,952,
18,954,950,952,
19,954,950,952,
20,940,914,943,
21,940,914,943,
22,895,802,879,
23,895,802,879,
24,859,788,885,
25,859,788,885,
26,940,886,934,
27,940,886,934,
28,950,946,950,
29,954,950,952,
30,954,950,952,
31,953,950,952,
32,953,950,952,
33,954,950,952,
34,954,950,952,
35,954,949,952,
36,954,949,952,
37,954,949,952,
38,954,949,952,
39,954,950,952,
40,954,950,952,
41,954,949,952,
42,954,949,952,
43,954,950,952,
44,954,950,952,
45,954,950,952,
46,954,950,952,
47,954,949,952,
48,954,949,952,
49,954,949,951,
50,954,949,951,
51,954,949,952,
52,954,949,952,
53,954,949,952,
54,954,949,952,
55,954,949,951,
56,954,949,951,
57,954,949,952,
58,954,949,952,
59,954,949,952,
60,954,949,952,
61,954,949,951,
62,954,949,951,
63,954,950,951,
64,954,950,951,
65,954,949,951,
66,954,949,951,
67,954,950,952,
68,954,950,952,
69,954,950,952,
70,954,950,952,
71,955,949,952,
72,955,949,952,
73,955,950,952,
74,955,950,952,
75,955,950,952,
76,955,950,952,
77,955,950,952,
78,955,950,952,
79,954,949,951,
80,954,949,951,
81,955,950,952,
82,955,950,952,
83,955,950,951,
84,955,950,951,
85,955,949,951,
86,955,949,951,
87,955,949,952,
88,954,949,950,
89,954,949,950,
90,955,950,952,
91,955,950,952,
92,955,950,952,
93,955,950,952,
94,955,950,952,
95,955,950,952,
96,955,950,952,
97,955,950,952,
98,956,950,952,
99,956,950,952,
100,956,950,952,
101,956,950,952,
102,956,950,951,
103,956,950,951,
104,956,950,951,
105,956,950,951,
106,956,950,950,
107,956,950,950,
108,956,950,951,
109,956,950,951,
110,956,950,950,
111,956,950,950,
112,956,950,950,
113,956,950,950,
114,956,950,950,
115,956,950,950,
116,952,942,940,
117,952,942,940,
118,807,843,818,
119,807,843,818,
120,564,487,576,
121,564,487,576,
122,500,440,551,
123,500,440,551,
124,495,446,543,
125,495,446,543,
126,504,433,564,
127,504,433,564,
128,511,433,547,
129,511,433,547,
130,513,452,554,
131,495,451,551,
132,495,451,551,
133,492,433,547,
134,492,433,547,
135,501,431,545,
136,501,431,545,
137,505,449,549,
138,505,449,549,
139,509,431,549,
140,509,431,549,
141,479,448,541,
142,479,448,541,
143,495,446,533,
144,495,446,533,
145,502,442,536,
146,502,442,536,
147,502,448,551,
148,502,448,551,
149,508,439,605,
150,508,439,605,
151,724,697,768,
152,724,697,768,
153,943,924,943,
154,943,924,943,
155,954,949,950,
156,954,949,950,
