step,tof,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
0,296,0.0,0.0,0.0,0.0,0,0,24.22,6.54,
1,296,0.0,0.0,0.0,0.0,0,25.14,17.22,0,
2,296,0.0,0.0,0.0,0.0,0,8.14,18.22,0.54,
3,296,0.0,0.0,0.0,0.0,0,0,14.22,0,
4,296,0.0,0.0,0.0,0.0,0,0.14000000000000057,13.22,0,
5,296,0.0,0.0,0.0,0.0,0,0,11.22,0,
6,296,0.0,0.0,0.0,0.0,0,0,15.22,0,
7,296,0.0,0.0,0.0,0.0,0,0,15.22,0,
8,304,0.0,0.0,0.0,0.0,0,0,11.22,0,
9,304,0.0,0.0,0.0,0.0,0,0,11.22,0,
10,304,0.0,0.0,0.0,0.0,0,0,15.22,4.54,
11,304,0.0,0.0,0.0,0.0,0,0,17.22,0,
12,304,0.0,0.0,0.0,0.0,0,0,18.22,0,
13,294,0.0,0.0,0.0,0.0,0,12.14,6.220000000000001,0,
14,294,0.0,0.0,0.0,0.0,0,0,20.22,0,
15,294,0.0,0.0,0.0,0.0,0,0,10.22,6.54,
16,294,0.0,0.0,0.0,0.0,0,79.14,14.22,0,
17,294,0.0,0.0,0.0,0.0,0,0,11.22,0,
18,301,0.0,0.0,0.0,0.0,0,0,15.22,0,
19,301,0.0,0.0,0.0,0.0,0,0,16.22,0,
20,301,0.0,0.0,0.0,0.0,0,27.14,8.22,0,
21,301,0.0,0.0,0.0,0.0,0,0,16.22,0,
22,301,0.0,0.0,0.0,0.0,0,0,19.22,0,
23,300,0.0,0.0,0.0,0.0,0,0,20.22,7.54,
24,300,0.0,0.0,0.0,0.0,0,41.14,2.2200000000000006,0,
25,300,0.0,0.0,0.0,0.0,0,1.1400000000000006,16.22,0.54,
26,300,0.0,0.0,0.0,0.0,0,0,14.22,0,
27,300,0.0,0.0,0.0,0.0,0,0,13.22,0,
28,295,0.0,0.0,0.0,0.0,0,0,0.22000000000000064,0,
29,295,0.0,0.0,0.0,0.0,0,0,12.22,0,
30,295,0.0,0.0,0.0,0.0,0,0,9.22,0,
31,295,0.0,0.0,0.0,0.0,0,0,0.22000000000000064,0,
32,295,0.0,0.0,0.0,0.0,0,0,14.22,0,
33,300,0.0,0.0,0.0,0.0,0,0,15.22,0,
34,300,0.0,0.0,0.0,0.0,0,0,18.22,0,
35,300,0.0,0.0,0.0,0.0,0,0,12.22,0.54,
36,300,0.0,0.0,0.0,0.0,0,5.140000000000001,14.22,0,
37,300,0.0,0.0,0.0,0.0,0,0,16.22,0,
38,305,0.0,0.0,0.0,0.0,0,0,16.22,0.54,
39,305,0.0,0.0,0.0,0.0,0,0,7.220000000000001,0.54,
40,305,0.0,0.0,0.0,0.0,0,0,10.22,0,
41,305,0.0,0.0,0.0,0.0,0,0,10.22,0,
42,305,0.0,0.0,0.0,0.0,0,5.140000000000001,30.22,0,
43,298,0.0,0.0,0.0,0.0,0,0,10.22,0,
44,298,0.0,0.0,0.0,0.0,0,0,19.22,0.54,
45,298,0.0,0.0,0.0,0.0,0,0,16.22,0,
46,298,0.0,0.0,0.0,0.0,0,0,14.22,0,
47,298,0.0,0.0,0.0,0.0,0,34.14,4.220000000000001,0,
48,304,0.0,0.0,0.0,0.0,0,0,15.22,0,
49,304,0.0,0.0,0.0,0.0,0,0,16.22,0,
50,304,0.0,0.0,0.0,0.0,0,0,3.2200000000000006,0,
51,304,0.0,0.0,0.0,0.0,0,0,30.22,0,
52,304,0.0,0.0,0.0,0.0,0,0,19.22,0,
53,305,0.0,0.0,0.0,0.0,0,0,16.22,0,
54,305,0.0,0.0,0.0,0.0,0,0,20.22,0,
55,305,0.0,0.0,0.0,0.0,0,0,16.22,0,
56,305,0.0,0.0,0.0,0.0,0,0,19.22,0,
57,305,0.0,0.0,0.0,0.0,0,0,16.22,0,
58,299,0.0,0.0,0.0,0.0,0,0,10.22,0,
59,299,0.0,0.0,0.0,0.0,0,0,14.22,0,
60,299,0.0,0.0,0.0,0.0,0,0,14.22,0,
61,299,0.0,0.0,0.0,0.0,0,24.14,21.22,0,
62,301,0.0,0.0,0.0,0.0,0,0,16.22,0,
63,301,0.0,0.0,0.0,0.0,0,0,18.22,0,
64,301,0.0,0.0,0.0,0.0,0,0,8.22,4.54,
65,301,0.0,0.0,0.0,0.0,0,47.14,8.22,0,
66,301,0.0,0.0,0.0,0.0,0,0,16.22,0,
67,296,0.0,0.0,0.0,0.0,0,0,15.22,0,
68,296,0.0,0.0,0.0,0.0,0,0,28.22,0,
69,296,0.0,0.0,0.0,0.0,0,0,24.22,2.54,
70,296,0.0,0.0,0.0,0.0,0,0,10.22,0,
71,296,0.0,0.0,0.0,0.0,0,0,14.22,0,
72,304,0.0,0.0,0.0,0.0,0,0.14000000000000057,13.22,0,
73,304,0.0,0.0,0.0,0.0,0,5.140000000000001,12.22,0,
74,304,0.0,0.0,0.0,0.0,0,0,15.22,0.54,
75,304,0.0,0.0,0.0,0.0,0,0,15.22,5.54,
76,304,0.0,0.0,0.0,0.0,0,0,31.22,3.54,
77,295,0.0,0.0,0.0,0.0,0,0,30.22,0,
78,295,0.0,0.0,0.0,0.0,0,0,15.22,0,
79,295,0.0,0.0,0.0,0.0,0,0,8.22,0,
80,295,0.0,0.0,0.0,0.0,0,33.14,22.22,0,
81,295,0.0,0.0,0.0,0.0,0,0,3.2200000000000006,1.54,
82,304,0.0,0.0,0.0,0.0,0,0,17.22,1.54,
83,304,0.0,0.0,0.0,0.0,0,0,14.22,0,
84,304,0.0,0.0,0.0,0.0,0,10.14,21.22,0,
85,304,0.0,0.0,0.0,0.0,0,0,14.22,0,
86,304,0.0,0.0,0.0,0.0,0,0,14.22,0,
87,304,0.0,0.0,0.0,0.0,0,0,22.22,1.54,
88,304,0.0,0.0,0.0,0.0,0,0,16.22,3.54,
89,304,0.0,0.0,0.0,0.0,0,0,14.22,0,
90,304,0.0,0.0,0.0,0.0,0,0,17.22,0,
91,304,0.0,0.0,0.0,0.0,0,54.14,12.22,0,
92,302,0.0,0.0,0.0,0.0,0,0,14.22,0,
93,302,0.0,0.0,0.0,0.0,0,0,16.22,0,
94,302,0.0,0.0,0.0,0.0,0,0,19.22,0,
95,302,0.0,0.0,0.0,0.0,0,0,18.22,0,
96,302,0.0,0.0,0.0,0.0,0,5.140000000000001,12.22,0,
97,299,0.0,0.0,0.0,0.0,0,0,12.22,7.54,
98,299,0.0,0.0,0.0,0.0,0,0,3.2200000000000006,0,
99,299,0.0,0.0,0.0,0.0,0,0,16.22,0,
100,299,0.0,0.0,0.0,0.0,0,0,17.22,0,
101,299,0.0,0.0,0.0,0.0,0,0,13.22,0,
102,298,0.0,0.0,0.0,0.0,0,42.14,10.22,0,
103,298,0.0,0.0,0.0,0.0,0,0,16.22,0,
104,298,0.0,0.0,0.0,0.0,0,0,15.22,0,
105,298,0.0,0.0,0.0,0.0,0,0,10.22,0,
